,Presynaptic Neuron,Postsynaptic Neuron,g,tau_d,tau_r,tau_f,U
0,DG Semilunar Granule (+)2311p,DG Granule (+)2201p,0.15890786469518384,0.10546577314931252,0.10431685794034577,0.1429435471578772,0.10538689232436686
1,DG Mossy (+)0103,DG Granule (+)2201p,0.16486491549708376,0.10568407568655475,0.1273317789960097,0.11225358586513687,0.11210126467591666
2,DG Mossy MOLDEN (+)2323,DG Granule (+)2201p,0.14759499529132544,0.10523159522665576,0.13214800816464878,0.11182111595042629,0.11443907358612042
3,CA3c Pyramidal (+)03223p,DG Granule (+)2201p,0.1270118338892186,0.13278602541989704,0.23060937468458712,0.19481590428088116,0.18247521510382925
4,MEC LV Pyramidal (+)331131p,DG Granule (+)2201p,0.16483842039876867,0.11114106697809686,0.0950364566443137,0.14420150393200507,0.09380493091053323
5,MEC LII Stellate (+)331111p,DG Granule (+)2201p,0.16519589487010258,0.10859723079355266,0.08727545844415463,0.1259952262143114,0.1051722319355882
6,EC LI-II Pyramidal-Fan (+)331000p,DG Granule (+)2201p,0.1729644398525945,0.10098590690366258,0.09323017777107352,0.143753873287665,0.10519318591754125
7,EC LII-III Pyramidal-Tripolar (+)333000p,DG Granule (+)2201p,0.16471885780508894,0.11129029469098882,0.07636949773581907,0.1152381119228598,0.0960469381039401
8,EC LIV-V Pyramidal-Horizontal (+)220233p,DG Granule (+)2201p,0.1459875758412891,0.09546807324547602,0.12678455103719413,0.13857181851116826,0.12218793841119646
9,DG Axo-Axonic (-)2233,DG Granule (+)2201p,0.13586018821113122,0.1268740174433051,0.24882413842020337,0.1973194855080276,0.2283026709390863
10,DG Basket (-)2232,DG Granule (+)2201p,0.12385147575925855,0.10722618538812048,0.17693707639128894,0.18957263904451016,0.13636669726210837
11,DG Basket CCK+ (-)2232,DG Granule (+)2201p,0.15214082999288234,0.1469898535137663,0.13625044523726823,0.15446532766879345,0.12201491884527137
12,DG Total Molecular Layer (-)3303,DG Granule (+)2201p,0.12188122495288298,0.13056521212853803,0.21493733323341738,0.17289585150485945,0.20058128343824025
13,DG MOLAX (-)3302,DG Granule (+)2201p,0.14946490858603123,0.14354499771176082,0.19036423829418897,0.15145918793200486,0.18467228357852247
14,DG Outer Molecular Layer (-)3222,DG Granule (+)2201p,0.14062565743125643,0.14215672898683357,0.18656443003289064,0.1509642791643052,0.16521020743228057
15,DG HICAP (-)2322,DG Granule (+)2201p,0.17487685366078812,0.12097460007463884,0.08883437409512689,0.13648821462135696,0.1251816311426771
16,DG Neurogliaform (-)3000p,DG Granule (+)2201p,0.17789949876711786,0.15302583218947233,0.09276621405716123,0.13656197834755954,0.09269333590525392
17,DG MOPP (-)3000,DG Granule (+)2201p,0.14385354373057146,0.16711079803553472,0.24973265417389956,0.19525296694110647,0.23843013929422896
18,DG HIPP (-)1002,DG Granule (+)2201p,0.1606253471321191,0.12486044146125334,0.10857082961316847,0.1439774588968608,0.11922084364280482
19,DG HIPROM (-)1333p,DG Granule (+)2201p,0.14497075821536062,0.1217121391585176,0.10415001244510157,0.12606770928532765,0.11436359426601152
20,DG AIPRIM (-)2333,DG Granule (+)2201p,0.11945168875452286,0.12814538287154098,0.17005868412824537,0.1496922094078213,0.1499705248795729
21,DG MOCAP (-)0331,DG Granule (+)2201p,0.1222237970057971,0.15599705567616354,0.30037456302099774,0.16748803010665086,0.19027701962659538
22,CA3 Spiny Lucidum (-)01320p,DG Granule (+)2201p,0.1170535562942781,0.12473541560847816,0.2336589530554325,0.19383391514551815,0.2289942034813042
23,CA1 LMR Projecting (-)3300p,DG Granule (+)2201p,0.13755490752807786,0.130250989364684,0.14005218532599753,0.1396798271556162,0.16153858560951156
24,CA1 Perforant Path-Associated (-)3200p,DG Granule (+)2201p,0.12236199263833508,0.115187884740476,0.15627873740015946,0.14041406841136947,0.1532578901756979
25,CA1 Neurogliaform Projecting (-)3000p,DG Granule (+)2201p,0.14309729753714567,0.16967477594958993,0.21274517652586705,0.187890644100543,0.20719981420997036
26,DG Semilunar Granule (+)2311p,DG Semilunar Granule (+)2311p,0.15713611638495872,0.10202609314078086,0.10133154744324772,0.1296010707718579,0.10542371025864125
27,DG Mossy (+)0103,DG Semilunar Granule (+)2311p,0.17736055688625124,0.10553257731783566,0.11394405760007804,0.10041777979967363,0.11139917216302096
28,DG Mossy MOLDEN (+)2323,DG Semilunar Granule (+)2311p,0.15803791778471338,0.10739773311752789,0.11425769646199935,0.09967378357622926,0.11359451085620831
29,CA3c Pyramidal (+)03223p,DG Semilunar Granule (+)2311p,0.14005174369815057,0.10312001073870058,0.2019895373648555,0.1721971324725263,0.17622167936635796
30,MEC LV Pyramidal (+)331131p,DG Semilunar Granule (+)2311p,0.15961502821985846,0.10107400375260438,0.09428881144080203,0.12594684485724827,0.09554202539791344
31,MEC LII Stellate (+)331111p,DG Semilunar Granule (+)2311p,0.16512959492153284,0.10546463670911177,0.07902816346787195,0.11104012763595383,0.10228668126671386
32,EC LI-II Pyramidal-Fan (+)331000p,DG Semilunar Granule (+)2311p,0.16176550220565522,0.10383147344932062,0.08859806419362808,0.13211054358307003,0.10596501480795575
33,EC LII-III Pyramidal-Tripolar (+)333000p,DG Semilunar Granule (+)2311p,0.15999576609982372,0.1022498515656344,0.07179776575685351,0.10463895686092177,0.09693072336758966
34,EC LIV-V Pyramidal-Horizontal (+)220233p,DG Semilunar Granule (+)2311p,0.14740417356137073,0.0944997393425207,0.11454170562949394,0.11768724074149477,0.11485993358531343
35,DG Total Molecular Layer (-)3303,DG Semilunar Granule (+)2311p,0.13983543046008934,0.11203859027104685,0.16068228169451407,0.1466757675750905,0.1375035704270641
36,DG MOLAX (-)3302,DG Semilunar Granule (+)2311p,0.16131121126998182,0.11722153248558122,0.15061534364281692,0.13289926611818706,0.13812894210957155
37,DG Outer Molecular Layer (-)3222,DG Semilunar Granule (+)2311p,0.13873810574081163,0.11330618382729943,0.15222131107365328,0.13216733913771994,0.1522972752163229
38,DG Neurogliaform (-)3000p,DG Semilunar Granule (+)2311p,0.1719019307452908,0.1277661050770216,0.08719574642313996,0.13318475415590125,0.09378557969443621
