,Presynaptic Neuron,Postsynaptic Neuron,g,tau_d,tau_r,tau_f,U
0,DG Semilunar Granule (+)2311p,DG Granule (+)2201p,4.915655999999999,11.218919999999999,1012.3583,37.20125,0.25895557
1,DG Mossy (+)0103,DG Granule (+)2201p,4.3681209999999995,11.629938000000001,840.7351,44.573483,0.24849613
2,DG Mossy MOLDEN (+)2323,DG Granule (+)2201p,4.8927097,11.425261500000001,853.2618,44.718509999999995,0.25554046
3,CA3c Pyramidal (+)03223p,DG Granule (+)2201p,4.855239,13.488396,709.9747,21.792234,0.25983712
4,MEC LV Pyramidal (+)331131p,DG Granule (+)2201p,5.6898212,10.970422,1033.6432,29.971857,0.35131845
5,MEC LII Stellate (+)331111p,DG Granule (+)2201p,5.5434375,12.587585,1223.6046,27.0144,0.31787226
6,EC LI-II Pyramidal-Fan (+)331000p,DG Granule (+)2201p,5.614433,11.213359,1204.4021,34.510956,0.29575664
7,EC LII-III Pyramidal-Tripolar (+)333000p,DG Granule (+)2201p,5.735217,12.380474000000001,1301.3762,27.987153999999997,0.290665
8,EC LIV-V Pyramidal-Horizontal (+)220233p,DG Granule (+)2201p,5.0800366,10.726783,923.20966,35.458218,0.28721634
9,DG Axo-Axonic (-)2233,DG Granule (+)2201p,4.6002584,13.767627,607.9399,29.714664000000003,0.1920907
10,DG Basket (-)2232,DG Granule (+)2201p,6.02116,17.308267999999998,1130.1764,24.966829999999998,0.3543221
11,DG Basket CCK+ (-)2232,DG Granule (+)2201p,5.606425,18.859707,1205.2958,28.884087,0.33923309999999995
12,DG Total Molecular Layer (-)3303,DG Granule (+)2201p,4.6194773,15.805179999999998,879.53754,27.426052000000002,0.1981366
13,DG MOLAX (-)3302,DG Granule (+)2201p,4.5243839999999995,15.957529999999998,818.14355,34.545475,0.18521187
14,DG Outer Molecular Layer (-)3222,DG Granule (+)2201p,4.6489515,17.1525,814.66034,31.725609999999996,0.24726220000000004
15,DG HICAP (-)2322,DG Granule (+)2201p,5.1985526,15.409456,1163.7806,35.87999,0.19765238
16,DG Neurogliaform (-)3000p,DG Granule (+)2201p,5.278415,19.375935000000002,1217.3494,31.589954,0.33665377
17,DG MOPP (-)3000,DG Granule (+)2201p,4.621205000000001,19.123823,830.05005,26.4127,0.20848532
18,DG HIPP (-)1002,DG Granule (+)2201p,5.443637,16.575249,1187.359,33.457394,0.27753046
19,DG HIPROM (-)1333p,DG Granule (+)2201p,5.6468706,16.333482999999998,1201.1066,34.517815,0.26583029999999996
