,Presynaptic Neuron,Postsynaptic Neuron,g,tau_d,tau_r,tau_f,U
0,DG Semilunar Granule (+)2311p,DG Granule (+)2201p,2.7678398960000004,8.084392825999998,714.8973204999999,24.87962221000001,0.1587738427
1,DG Mossy (+)0103,DG Granule (+)2201p,2.438257233,9.076772374,546.5645814000002,37.2499192,0.16227374225000005
2,DG Mossy MOLDEN (+)2323,DG Granule (+)2201p,2.6465021579999997,8.873737284000004,537.4114044,37.144130139999994,0.16257397679999994
3,CA3c Pyramidal (+)03223p,DG Granule (+)2201p,2.6545888530000004,9.564274425999999,401.99892080000006,16.501010154999996,0.13926539991000003
4,MEC LV Pyramidal (+)331131p,DG Granule (+)2201p,2.9350191449999996,8.838902599999997,714.0936458000001,24.29032438999999,0.21585090490000006
5,MEC LII Stellate (+)331111p,DG Granule (+)2201p,2.9924202009999994,8.261462938,859.8133890999999,18.816063415000002,0.18746064499999995
6,EC LI-II Pyramidal-Fan (+)331000p,DG Granule (+)2201p,2.96330895,8.218072073,857.3968853999999,28.14668092000001,0.1746856755
7,EC LII-III Pyramidal-Tripolar (+)333000p,DG Granule (+)2201p,3.0368063579999993,8.139174120000005,964.2479724,19.806510579999998,0.18463696620000003
8,EC LIV-V Pyramidal-Horizontal (+)220233p,DG Granule (+)2201p,2.7825881379999995,8.438139227000002,573.6436756999997,28.80926845000001,0.16755840745000009
9,DG Axo-Axonic (-)2233,DG Granule (+)2201p,2.7437723140000014,10.062550795000002,314.25339340000005,23.806490809999996,0.09893748756999994
10,DG Basket (-)2232,DG Granule (+)2201p,3.0730639330000007,10.565560580000005,804.8653249999999,17.415525230000004,0.2347571552
11,DG Basket CCK+ (-)2232,DG Granule (+)2201p,2.8757590509999993,12.118561245000006,767.4859619000001,19.178310389999993,0.20645300920000006
12,DG Total Molecular Layer (-)3303,DG Granule (+)2201p,2.7940066640000003,11.066852985,580.7947248999999,17.745437535,0.10987552164999999
13,DG MOLAX (-)3302,DG Granule (+)2201p,2.5902133639999994,12.321350850000009,545.0108053,27.119740719999985,0.11349879378000001
14,DG Outer Molecular Layer (-)3222,DG Granule (+)2201p,2.689710059,12.331150269999997,529.3317151000001,24.604026049999998,0.15238627664000007
15,DG HICAP (-)2322,DG Granule (+)2201p,2.887257821,12.148285045,939.9797539000002,31.997858739999987,0.12984219542
16,DG Neurogliaform (-)3000p,DG Granule (+)2201p,2.855820647999999,13.991876999999995,922.1672769,22.38894718,0.23079896440000006
17,DG MOPP (-)3000,DG Granule (+)2201p,2.5510757850000005,15.027254820000007,500.6431308000002,16.395307465,0.10800708988999999
18,DG HIPP (-)1002,DG Granule (+)2201p,2.7872961,12.510907018999996,924.9980176999994,29.31067746999999,0.18342638990000004
19,DG HIPROM (-)1333p,DG Granule (+)2201p,3.0826769140000003,11.996903125,965.5639390999999,29.768239109999996,0.1802658578000001
20,DG AIPRIM (-)2333,DG Granule (+)2201p,2.8870677179999995,11.876638235,690.1915648999998,26.035498790000002,0.17724250009999998
21,DG MOCAP (-)0331,DG Granule (+)2201p,2.653787794000001,12.251382569999997,335.78400550000003,9.182020618999998,0.06357809005999998
22,CA3 Spiny Lucidum (-)01320p,DG Granule (+)2201p,2.9873113609999997,10.43679275,571.2299450999999,14.381361154999997,0.11735306053
23,CA1 LMR Projecting (-)3300p,DG Granule (+)2201p,2.857856164,11.026800430000002,759.0651158000001,18.62160837,0.12287560894000003
24,CA1 Perforant Path-Associated (-)3200p,DG Granule (+)2201p,2.978322978999999,10.260601835,682.8762233000001,17.69539588500001,0.1548542218999999
25,CA1 Neurogliaform Projecting (-)3000p,DG Granule (+)2201p,2.7047060160000003,17.350516964999986,607.1067686000001,19.072242394999993,0.16337194589999995
26,DG Semilunar Granule (+)2311p,DG Semilunar Granule (+)2311p,2.576597617000002,6.709263108,684.6854200999999,27.110282120000008,0.11100118411999997
27,DG Mossy (+)0103,DG Semilunar Granule (+)2311p,2.2863394569999986,7.759275751000002,560.9523761,39.06430667,0.12155784291999995
28,DG Mossy MOLDEN (+)2323,DG Semilunar Granule (+)2311p,2.4705989690000005,7.565708726,552.1186579,38.8318816,0.12038667032
29,CA3c Pyramidal (+)03223p,DG Semilunar Granule (+)2311p,2.5563688339999997,8.121670659000001,404.6680441000001,19.676571315000007,0.10337645225000007
30,MEC LV Pyramidal (+)331131p,DG Semilunar Granule (+)2311p,2.71798593,7.5865174490000005,672.6399057,26.70444984,0.18293238579999996
31,MEC LII Stellate (+)331111p,DG Semilunar Granule (+)2311p,2.747397432,6.690056135000001,848.0828933999998,19.960963500000002,0.14485377717999998
32,EC LI-II Pyramidal-Fan (+)331000p,DG Semilunar Granule (+)2311p,2.7137700559999995,6.762579397000003,821.3421468,29.78048119000001,0.13219131159999992
33,EC LII-III Pyramidal-Tripolar (+)333000p,DG Semilunar Granule (+)2311p,2.7899621040000007,6.565282719999998,935.3175454999999,20.548882330000005,0.1383584968
34,EC LIV-V Pyramidal-Horizontal (+)220233p,DG Semilunar Granule (+)2311p,2.585758357000001,7.463294928,544.4871431999999,32.371045809999984,0.13776290269999997
35,DG Total Molecular Layer (-)3303,DG Semilunar Granule (+)2311p,2.61381429,8.345523880999997,571.4736139999999,20.886501459999998,0.06918986596
36,DG MOLAX (-)3302,DG Semilunar Granule (+)2311p,2.433327524000001,9.128209815999998,522.3005007999999,30.600322699999996,0.07479490835999998
37,DG Outer Molecular Layer (-)3222,DG Semilunar Granule (+)2311p,2.5466032730000006,9.434285408000004,491.33085610000023,28.03787793000002,0.10747697605999998
38,DG Neurogliaform (-)3000p,DG Semilunar Granule (+)2311p,2.7195872480000016,9.439515709,857.8558591000004,23.97605872,0.17104264079999998
39,DG MOPP (-)3000,DG Semilunar Granule (+)2311p,2.4663462280000004,9.999465978000003,516.7610401000001,21.720035740000004,0.07601725105
40,DG HICAP (-)2322,DG Semilunar Granule (+)2311p,2.578714889000001,8.722496709000003,798.4638340000004,30.23745127999999,0.07229166591
41,DG HIPP (-)1002,DG Semilunar Granule (+)2311p,2.7470979379999996,8.462793953000002,780.4954494000001,24.98018788,0.10142582050000001
42,DG HIPROM (-)1333p,DG Semilunar Granule (+)2311p,2.9914438459999992,8.201964596999998,832.6574062999998,24.91522378000001,0.09898878872999997
43,DG AIPRIM (-)2333,DG Semilunar Granule (+)2311p,2.799503431999999,8.383672520000003,603.9859811999999,23.969230519999996,0.10919130032
44,DG MOCAP (-)0331,DG Semilunar Granule (+)2311p,2.48374056,9.376554934,378.8749548999999,12.988508956999999,0.04699558927
45,CA3 Spiny Lucidum (-)01320p,DG Semilunar Granule (+)2311p,2.778650778,8.105824940999998,560.7273594000002,17.305290074999995,0.07496712215000004
46,CA1 LMR Projecting (-)3300p,DG Semilunar Granule (+)2311p,2.6172063929999996,8.495998985999996,742.3962274,21.068144800000006,0.07780537666000004
47,CA1 Perforant Path-Associated (-)3200p,DG Semilunar Granule (+)2311p,2.769256672000001,8.099424604999998,658.0218753000001,19.97623431,0.10624179511000001
48,CA1 Neurogliaform Projecting (-)3000p,DG Semilunar Granule (+)2311p,2.579671450999998,11.520215656000003,570.9884010999999,21.215355119999998,0.11043784739000001
49,DG Granule (+)2201p,DG Hilar Ectopic Granule (+)2203p,2.7647673800000003,5.994339137999998,1025.1843599999995,32.71546239,0.09906817304999999
50,CA2 Pyramidal (+)2333p,DG Hilar Ectopic Granule (+)2203p,2.8564419130000003,6.648928729999998,766.9583941000002,52.0341636,0.16642129089999996
51,DG Hilar Ectopic Granule (+)2203p,DG Hilar Ectopic Granule (+)2203p,2.606942648,6.646738136999999,834.917581,37.348768249999985,0.13564600966
52,DG Mossy MOLDEN (+)2323,DG Hilar Ectopic Granule (+)2203p,2.5838154639999997,7.1940003290000005,752.9846030000002,44.58849375000002,0.13314472519999998
53,CA3c Pyramidal (+)03223p,DG Hilar Ectopic Granule (+)2203p,2.5474030579999996,7.584617803999999,603.9798656999998,24.024910390000006,0.11985298464999998
54,DG Semilunar Granule (+)2311p,DG Hilar Ectopic Granule (+)2203p,2.6454310510000005,6.561824916999998,861.6379916999997,33.69822976999999,0.12270545839000002
55,DG Mossy (+)0103,DG Hilar Ectopic Granule (+)2203p,2.3904916249999997,7.353181688999999,757.9020645000002,44.358548950000014,0.13458105535
56,MEC LV Pyramidal (+)331131p,DG Hilar Ectopic Granule (+)2203p,2.7521663859999994,7.311028424000003,876.5944671000001,34.93742510000001,0.20129671530000004
57,MEC LII Stellate (+)331111p,DG Hilar Ectopic Granule (+)2203p,2.8257538189999987,6.380115623000002,1058.8462485,27.695763090000003,0.16142969289999992
58,EC LI-II Pyramidal-Fan (+)331000p,DG Hilar Ectopic Granule (+)2203p,2.795790921,6.651606717999999,1035.4563273,39.53421547000001,0.14939611659999993
59,EC LII-III Pyramidal-Tripolar (+)333000p,DG Hilar Ectopic Granule (+)2203p,2.8296678479999984,6.353557821999999,1140.1930882000001,28.675422840000014,0.15465554024
60,EC LIV-V Pyramidal-Horizontal (+)220233p,DG Hilar Ectopic Granule (+)2203p,2.6579128219999997,7.142844094000002,747.4539167000003,39.32173792000002,0.15526500499999993
61,DG Axo-Axonic (-)2233,DG Hilar Ectopic Granule (+)2203p,2.6168194160000002,8.145727589000002,575.7748796000001,33.611402689999984,0.09664811414
62,DG Total Molecular Layer (-)3303,DG Hilar Ectopic Granule (+)2203p,2.652236691,7.899992859000001,781.5002626999998,28.09952001000001,0.08410832845000002
63,DG MOLAX (-)3302,DG Hilar Ectopic Granule (+)2203p,2.5149380210000003,8.545350402000002,729.1153231000001,37.38456462,0.08954487336000001
64,DG Outer Molecular Layer (-)3222,DG Hilar Ectopic Granule (+)2203p,2.593715406,8.77719366,699.464585,33.9093842,0.12440860776999997
65,DG Neurogliaform (-)3000p,DG Hilar Ectopic Granule (+)2203p,2.778713162000001,8.948133522999997,1056.7498690000002,32.308276200000016,0.18629197719999996
66,DG MOPP (-)3000,DG Hilar Ectopic Granule (+)2203p,2.575248429,8.758001673000003,741.9398654999995,29.01367748,0.09458063671000001
67,DG HICAP (-)2322,DG Hilar Ectopic Granule (+)2203p,2.6022923790000005,8.435979333,977.3655668000001,35.4752965,0.08278333526999998
68,DG HIPP (-)1002,DG Hilar Ectopic Granule (+)2203p,2.781049272000002,8.253869347,970.6103278,31.52144138000001,0.11178315266999998
69,DG HIPROM (-)1333p,DG Hilar Ectopic Granule (+)2203p,3.0281490349999998,8.044924410000002,1039.9399189000003,32.65954087000001,0.10827116416
70,DG AIPRIM (-)2333,DG Hilar Ectopic Granule (+)2203p,2.8599665939999994,8.094947969999998,799.8028610999999,28.913870930000012,0.11685357219
71,DG MOCAP (-)0331,DG Hilar Ectopic Granule (+)2203p,2.5548386129999994,8.628616287999996,623.5803941000001,19.820877730000003,0.06398936289999999
72,CA3 Spiny Lucidum (-)01320p,DG Hilar Ectopic Granule (+)2203p,2.8484405020000003,7.6267183439999995,781.8563059999998,24.2255847,0.0903077099
73,CA3 Mossy Fiber-Associated ORDEN (-)02332p,DG Hilar Ectopic Granule (+)2203p,2.836918728000001,7.5044409909999965,801.8390423,41.43588512,0.08364679046999997
74,CA3 Mossy Fiber-Associated (-)03330p,DG Hilar Ectopic Granule (+)2203p,2.5469268020000007,8.563497764000003,659.9261235999999,24.847817380000016,0.08339305269000004
75,CA1 LMR Projecting (-)3300p,DG Hilar Ectopic Granule (+)2203p,2.6531176550000004,8.04819172,966.4440302000002,28.58008123,0.09444259477000001
76,CA1 Perforant Path-Associated (-)3200p,DG Hilar Ectopic Granule (+)2203p,2.8185880320000005,7.740896926,880.739592,27.268516979999994,0.12475503576999998
77,CA1 Neurogliaform Projecting (-)3000p,DG Hilar Ectopic Granule (+)2203p,2.690990869999999,9.886935039000003,782.1578301000003,28.375832770000002,0.12644669496999997
