,Presynaptic Neuron,Postsynaptic Neuron,g,tau_d,tau_r,tau_f,U
0,DG Semilunar Granule (+)2311p,DG Granule (+)2201p,1.8016945,5.57377,515.2911,18.25071,0.14440191
1,DG Mossy (+)0103,DG Granule (+)2201p,1.7127057,6.948810000000001,404.74728,23.473482,0.14325167
2,DG Mossy MOLDEN (+)2323,DG Granule (+)2201p,2.0079274,6.13585,388.8328,24.182232,0.14182779999999998
3,CA3c Pyramidal (+)03223p,DG Granule (+)2201p,2.2394462,7.078322999999999,277.83627,10.644107,0.104312435
4,MEC LV Pyramidal (+)331131p,DG Granule (+)2201p,1.8419511000000002,5.353797,628.0268599999999,15.009095,0.17859122
5,MEC LII Stellate (+)331111p,DG Granule (+)2201p,1.9936572,5.237774,712.6487400000001,14.892192000000001,0.1672425
6,EC LI-II Pyramidal-Fan (+)331000p,DG Granule (+)2201p,1.6504986000000001,5.445727,712.6865,15.762135500000001,0.1564471
7,EC LII-III Pyramidal-Tripolar (+)333000p,DG Granule (+)2201p,2.051429,5.039413,809.8428,15.353741000000001,0.16569360000000002
8,EC LIV-V Pyramidal-Horizontal (+)220233p,DG Granule (+)2201p,2.1402867000000003,5.8471503,472.33835,15.560832999999999,0.14427775
9,DG Axo-Axonic (-)2233,DG Granule (+)2201p,2.532032,6.068534400000001,130.99136000000001,15.027707000000001,0.051019654000000005
10,DG Basket (-)2232,DG Granule (+)2201p,2.1147928,7.5081880000000005,446.24847,12.088453999999999,0.15845306
11,DG Basket CCK+ (-)2232,DG Granule (+)2201p,1.856168,7.9840083,559.3575,15.572153,0.16531265
12,DG Total Molecular Layer (-)3303,DG Granule (+)2201p,1.8229284,7.480999000000001,379.298,14.597093,0.06720377
13,DG MOLAX (-)3302,DG Granule (+)2201p,1.8877906000000002,8.123978999999999,373.51697,17.8697,0.07945116
14,DG Outer Molecular Layer (-)3222,DG Granule (+)2201p,2.1775525,7.525840299999999,367.47873,17.462803,0.10341473
15,DG HICAP (-)2322,DG Granule (+)2201p,2.0158505,7.3908076000000005,663.47845,19.772904999999998,0.085358694
16,DG Neurogliaform (-)3000p,DG Granule (+)2201p,2.0198118999999997,8.104953,694.1584,17.953054,0.1731132
17,DG MOPP (-)3000,DG Granule (+)2201p,1.8859873999999999,8.912923,287.0582,14.557647,0.06596287
18,DG HIPP (-)1002,DG Granule (+)2201p,1.9058663,7.4826565,614.7111,17.940954,0.11710942
19,DG HIPROM (-)1333p,DG Granule (+)2201p,2.1582248,7.1310573,641.6775,16.524720000000002,0.11879615
20,DG AIPRIM (-)2333,DG Granule (+)2201p,1.8577721,7.343732000000001,413.76968,16.474382000000002,0.10230048
21,DG MOCAP (-)0331,DG Granule (+)2201p,2.0841339,7.2176029999999995,116.76812,7.438782700000001,0.02683155
