,Presynaptic Neuron,Postsynaptic Neuron,g,tau_d,tau_r,tau_f,U
0,DG Semilunar Granule (+)2311p,DG Granule (+)2201p,0.394713178389449,0.91609518657975,51.96481624550275,4.352871703590372,0.014488198244213865
1,DG Mossy (+)0103,DG Granule (+)2201p,0.3695250670698704,1.0045860726459321,47.16303104317734,5.056471954270806,0.016169178104745982
2,DG Mossy MOLDEN (+)2323,DG Granule (+)2201p,0.36123039591802564,0.9726814669319753,47.23295698043044,4.996879515167197,0.01644897954474584
3,CA3c Pyramidal (+)03223p,DG Granule (+)2201p,0.3218836366298041,1.2353383338792396,49.13833067571201,3.4816437289811635,0.017348386845559654
4,MEC LV Pyramidal (+)331131p,DG Granule (+)2201p,0.44029936405713216,1.0256815288605559,51.3663735513726,4.12309562138712,0.01671494810274976
5,MEC LII Stellate (+)331111p,DG Granule (+)2201p,0.4489292294186831,0.9575672356749474,59.391804002715965,2.5247570389111282,0.016350724631014574
6,EC LI-II Pyramidal-Fan (+)331000p,DG Granule (+)2201p,0.4486704448572075,0.8641923970107234,59.885130514409475,4.441308931174487,0.015505985224206008
7,EC LII-III Pyramidal-Tripolar (+)333000p,DG Granule (+)2201p,0.4457593259913934,0.9633711720813528,58.754447239096095,2.3555599241928977,0.014802717804441343
8,EC LIV-V Pyramidal-Horizontal (+)220233p,DG Granule (+)2201p,0.3674185093724995,0.831001278680657,52.094842982028425,4.863571813929149,0.016831762361136794
9,DG Axo-Axonic (-)2233,DG Granule (+)2201p,0.3441523895629295,1.1008918375554335,34.96965431435487,3.9277374967942413,0.01166045091050324
10,DG Basket (-)2232,DG Granule (+)2201p,0.3578456077658121,1.0730559879519268,65.31632629712718,2.511276653653811,0.018687458104363144
11,DG Basket CCK+ (-)2232,DG Granule (+)2201p,0.40375436573686696,1.8000080189016068,68.92751126559153,2.9507164823971843,0.017839880803930036
12,DG Total Molecular Layer (-)3303,DG Granule (+)2201p,0.3080939788102534,1.4567060961441967,69.79428459352803,2.9018324028764115,0.013158698659162743
13,DG MOLAX (-)3302,DG Granule (+)2201p,0.33577344056462927,1.7414745833683207,60.37999620221362,4.410228378609623,0.013912885074587813
